slug_en,slug_ar,label_en,label_ar,search_vol,module_hint,plan_gate
word-to-powerpoint,تحويل-وورد-بوربوينت,Convert Word to PowerPoint,تحويل وورد إلى بوربوينت,12000,deck,free
powerpoint-to-pdf,تحويل-بوربوينت-بي-دي-اف,Convert PowerPoint to PDF,تحويل بوربوينت إلى PDF,8000,deck,free
pdf-to-powerpoint,تحويل-بي-دي-اف-بوربوينت,Convert PDF to PowerPoint,تحويل PDF إلى بوربوينت,7000,deck,free
markdown-to-powerpoint,تحويل-ماركداون-بوربوينت,Convert Markdown to PowerPoint,تحويل ماركداون إلى بوربوينت,3000,deck,free
notion-to-powerpoint,تحويل-نوشن-بوربوينت,Convert Notion Page to PowerPoint,تحويل صفحة Notion إلى بوربوينت,2500,deck,free
excel-to-powerpoint,تحويل-اكسل-بوربوينت,Convert Excel to PowerPoint,تحويل إكسل إلى بوربوينت,4000,data_charts,business
kpi-dashboard-to-slide,تحويل-لوحة-مؤشرات-شرائح,Convert KPI Dashboard to Slides,تحويل لوحة مؤشرات إلى شرائح,1800,data_charts,business
syllabus-to-scorm,تحويل-منهج-سكورم,Convert Syllabus to SCORM,تحويل منهج إلى SCORM,2200,scorm,pro_edu
course-to-quiz,تحويل-دورة-اختبار,Convert Course to Quiz,تحويل دورة إلى اختبار,2100,quiz,pro_edu
ppt-to-video,تحويل-بوربوينت-فيديو,Convert PowerPoint to Video,تحويل بوربوينت إلى فيديو,5000,video,business
ppt-to-arabic,بوربوينت-إلى-عربي,Translate PPT to Arabic,ترجمة بوربوينت إلى العربية,3500,deck,starter
ppt-to-english,بوربوينت-إلى-انجليزي,Translate PPT to English,ترجمة بوربوينت إلى الإنجليزية,3200,deck,starter
training-manual-to-slides,تحويل-دليل-تدريب-شرائح,Training Manual to Slides,تحويل دليل تدريب إلى شرائح,4200,deck,free
policy-doc-to-slides,تحويل-سياسة-شرائح,Policy Doc to Training Slides,تحويل سياسة إلى شرائح تدريبية,2100,deck,free
word-to-arabic-slides,تحويل-وورد-شرائح-عربي,Word to Arabic Slides,تحويل وورد إلى شرائح عربية,5000,deck,free
ppt-rtl-fix,تصحيح-بوربوينت-rtl,Fix RTL Slides,تصحيح تنسيق الشرائح من اليمين إلى اليسار,900,deck,free
ppt-brand-kit,بوربوينت-هوية-بصرية,Apply Brand Kit to PPT,تطبيق الهوية البصرية على بوربوينت,1100,data_charts,business
ppt-analytics,تحليلات-بوربوينت,PPT Usage Analytics,تحليلات استخدام بوربوينت,600,data_charts,business
ppt-scorm-example,مثال-بوربوينت-سكورم,PPT to SCORM Example,مثال بوربوينت إلى SCORM,500,scorm,pro_edu
ppt-video-example,مثال-بوربوينت-فيديو,PPT to Video Example,مثال بوربوينت إلى فيديو,500,video,business
google-doc-to-powerpoint,تحويل-مستند-جوجل-بوربوينت,Google Doc to PowerPoint,تحويل مستند جوجل إلى بوربوينت,2600,deck,free
pptx-compress,ضغط-ملف-بوربوينت,Compress PPTX Online,ضغط بوربوينت أونلاين,3100,deck,free
ppt-template-arabic,قوالب-بوربوينت-عربية,Arabic PowerPoint Templates,قوالب عربية لبوربوينت,2700,deck,free
ppt-template-english,قوالب-بوربوينت-انجليزية,English PowerPoint Templates,قوالب إنجليزية لبوربوينت,2900,deck,free
ppt-ai-design,تصميم-بوربوينت-بالذكاء-الاصطناعي,AI PowerPoint Design,تصميم بوربوينت بالذكاء الاصطناعي,4100,deck,starter
ppt-voiceover,تعليق-صوتي-بوربوينت,Add Voiceover to PPT,إضافة تعليق صوتي إلى بوربوينت,1800,video,business
ppt-subtitles,ترجمة-شرائح,Add Subtitles to Slides,إضافة ترجمات إلى الشرائح,1600,video,business
ppt-to-html5,بوربوينت-إلى-html5,Convert PPT to HTML5,تحويل بوربوينت إلى HTML5,950,deck,starter
ppt-to-google-slides,بوربوينت-إلى-جوجل-شرائح,Convert PPT to Google Slides,تحويل بوربوينت إلى جوجل شرائح,2200,deck,free
ppt-dimensions,مقاسات-بوربوينت,Best PPT Dimensions,أفضل مقاسات بوربوينت,800,deck,free
ppt-infographic,انفوجرافيك-بوربوينت,Create PPT Infographic,إنشاء انفوجرافيك بوربوينت,2600,deck,starter
ppt-animation-to-video,تحويل-حركة-فيديو,Animation PPT to Video,تحويل الحركة في بوربوينت إلى فيديو,1400,video,business
ppt-explainer-video,فيديو-توضيحي-بوربوينت,PowerPoint Explainer Video,فيديو توضيحي بوربوينت,1550,video,business
ppt-data-dashboard,لوحة-بيانات-بوربوينت,PowerPoint Data Dashboard,لوحة بيانات في بوربوينت,1700,data_charts,business
ppt-gantt-chart,مخطط-جان-بوربوينت,Gantt Chart in PPT,مخطط جان في بوربوينت,1850,data_charts,business
ppt-timeline-chart,مخطط-زمني-بوربوينت,Timeline Chart in PPT,مخطط زمني بوربوينت,1900,data_charts,business
ppt-financial-ratios,نسب-مالية-بوربوينت,Financial Ratios Slides,شرائح نسب مالية,1500,data_charts,business
ppt-kpi-templates,قوالب-kpi-بوربوينت,KPI Templates PPT,قوالب KPI بوربوينت,2300,data_charts,business
